user_id,parent_asin,rating,timestamp,title,text,label
AGZZXSMMS4WRHHJRBUJZI4FZDHKQ,B000068PBJ,5,2005-08-09 12:12:58.000,The best razor ever!,"I had a Norelco years ago, then I went through three Brauns (the micro-foil ones that a straight instead of having three circular blades like this one).  All my razors were expensive, they were all the best in the bunch.  This is the best by far.<br /><br />This razor shaves close, I have never felt my skin so smooth except when I used to use a blade.  It conforms to your skin, even my neck comes out smooth (about 4 minutes to completely shave smooth, or I'll usually shave for less than a minute and get a shave that lasts until I get home from work).  It has a timer that not only tells you exactly how many minutes of battery are left, but it also tells you how many minutes you shaved for (which comes in handy more than I thought it would).  The best feature is that you can pop the top up and rinse it in water!  My brauns cleaned with refil cartridges that were hard to find and expensive and a hassel; whereas my old Norelco cleaned with a brush and never got really clean.  This one cleans easily and quickly, and even beeps to tell you when to clean it!  Also, this razor doesn't give me razor burn like my Brauns did!!<br /><br />If you are a first time shaver, or an expierenced shaver looking for a better shave from an electric razor, this is the one for you!  I will never buy any other brand of razor again and I'll probably have this one for years to come...",1
AHXEK642UJNWCB3LIGZZAKTONXQQ,B0001HYKBM,4,2006-04-07 13:39:02.000,Better than blade,"I've used this shaver for almost two years now and love it.  I'll never go back to a blade.  It takes some getting used to and practice, especially when shaving your neck, but once you get it down, it does a great job.<br /><br />You also don't need to buy the Nivea replacement packs.  I use regular shaving gel and it works perfectly.  I replaced the blades after about 18 months of use and it's like have a brand new shaver.<br /><br />My skin doesn't get irritated like it does with a blade, even if I have to shave twice a day.<br /><br />It's easy to clean and take care of too.  Being able to use it in the shower and just rinse it off is a real time saver.",1
AHXEK642UJNWCB3LIGZZAKTONXQQ,B0001HYLQQ,3,2006-04-07 13:41:48.000,Work but unnecessary,"Sure, it's very convenient to have to gel right inside the razor, but it can get expensive to constantly have to buy more of these packs.  I use regular shaving gel with my Cool Skin shaver and have never had a problem in the two years I have used it.  I still use the packs when traveling, just for the space savings.",0
AHXEK642UJNWCB3LIGZZAKTONXQQ,B0001HYLQG,3,2006-04-07 13:44:28.000,Nice but unnecessary,"Sure, it's very convenient to have the lotion right inside the razor, but it can get expensive to constantly have to buy more of these packs. I use regular shaving gel with my Cool Skin shaver and have never had a problem in the two years I have used it. I still use the packs when traveling, just for the space savings.",0
AHNSZCP3JIOZZVYXFJRGQEKRSTFA,B000067E30,5,2006-06-30 02:56:39.000,Great product,"I love this product. It is true what other say about the sensitivity. I would recommend using sensitivity toothpaste while you are using the strips, it helped for me. It made my teeth noticeably whiter. I would suggest you take a picture of yourself smiling before and after. I noticed the whiteness of my teeth when I saw a picture taken recently and I couldn't believe how nice they looked. I just had to dig up an old picture to compare and it was a big difference. After I have noticed this in the new picture, I love smiling for pictures now and showing my teeth. I was alway self conscious about it before.  That alone makes it worth the price.<br /><br />I was very satisfied with my results. Make sure to read all the instructions before using.<br /><br />It just became a part of my bedtime routine, not a bother at all. I just put one on while I was watching my evening TV programs and just kept an eye on the clock.<br /><br />Also, I recommend that after you have finished your pack that you use the Crest whitening toothpaste.  It really helps to keep your teeth staying white.<br /><br />Great product and it was recommended to me by my dentist.",1
AHRJIHB7RXXQJJC7RKYYFCY754FA,B000FEF1VE,5,2007-02-06 19:54:38.000,"SMOOTH, COMFORTABLE, QUIET","This razor was a pleasant surprise!  It is very smooth, has an extremely comfortable grip, and is exceptionally quiet.  For the price, I believe this razor is a BEST BUY!",1
AHHWI6X47RXVMZOZCKRZCGZG36CQ,B000PKNPES,3,2007-12-15 13:11:16.000,"Norelco is great, this one is just OK","I have used Norelco shavers for many years and prefer them to all other models I have tried.  This review comes from much experience with the brand.<br /><br />This Arcitec design looks fancy and works well, but gets three average stars because it really works no better than the previous non-space-age, less expensive designs.  The 1050, 1060, and 1090 all operate the same, they just have a different display: none is better than the other, and don't waste money on the Cleaner accessory.  It is fairly comfortable to hold (I prefer the feel of the original model because this is one is smaller), and looks fancy sitting on the counter, but it does not do a better job.  It requires cleaning after each use as there is no space for the hairs.  I have always cleaned my shavers after each use anyway.  Unless you just want the apperance, it is not worth the extra money.<br /><br />Technically:  The triple-blade per round head (each cutter has three spinning blade areas) does not do any better than a double cutting blade.  Kind of like a Saturday Night Live skit in the 70's, Jim Belushi said,  ""Buy a triple bladed razor.  For those that will believe anything"".  Lift-and-cut is a ridiculous concept and a marketing ploy, but Norelco's do a nice job.  Norelco went back to more diagonal openings with this model, which is good.  Many other newer models have lots of little pin-holes which are worthless, as the hairs have no time to enter a small hole with shaving motion.  You would have to set it directly on a hair to cut it.  The less pin-holes the better.<br /><br />Feel:  The head design feels better on the neck, and has not caused razor-burn if I do not stretch the skin tight like I need to with the original model.  It takes the same time to shave as my older unit, and I get no better results, no faster.  It takes the same time to get a smooth shave, and the same persistance in some areas.<br /><br />Function:  It is a little bit easier to shave under the nose, above my mustache, but not a major difference.  It is much harder to trim my sideburns with this unit as the heads almost cut my hair on my head above the ears the way it is shaped.  Very poorly designed trimmer, so I use my older shaver for that.<br /><br />Battery:  Early, new battery life is good, as with most new battery devices.  But, it states to not over-charge.  Meaning, you need to be around when recharging to unplug it after it is charged; not good for those that shave and must go to work.  The other units would shut off after charging.<br /><br />Cleaner/Charger:  Again, one needs to be around when it is finished to not over-charge.  The cleaner is not necessary and a waste of time, money, and chemicals.  I use a razor brush from an older unit, brush it out quickly over the wastebasket (one can't blow it out without getting hair dust all over the bathroom, and it can't be shaken into the wastebasket as easily as the older models), and I spray it quickly with Remington Silicone Lubricant (I can only find it at Wal-Mart, which is the only thing I ever go there for, by the way).<br /><br />Overall: Buy it for looks and keep your old one in the drawer for sideburns.  Nicer on the neck.<br /><br />I would return it, BUT, it was a gift, AND I like the look of it.  I know, I know!!<br /><br />Update 12-29-07<br />I purchased a Braun 9595 through J&R on Amazon, and it has a 60 day trial return guarantee.  This is the first micro-screen razor I have used and it is better in all respects to the Norelco Arcitec except for the fancy styling.  It is fast and comfortable, and my face feels razor smooth.  I was able to return the Arcitec and am really happy with this Braun 9595 model.",0
AHHWI6X47RXVMZOZCKRZCGZG36CQ,B000PKMA2G,3,2007-12-17 22:02:22.000,Just OK,"I have used Norelco shavers for many years and prefer them to all other models I have tried. This review comes from much experience with the brand.<br /><br />This Arcitec design looks fancy and works well, but gets three average stars because it really works no better than the previous non-space-age, less expensive designs. The 1050, 1060, and 1090 all operate the same, they just have a different display: none is better than the other, and don't waste money on the Cleaner accessory. It is fairly comfortable to hold (I prefer the feel of the original model because this is one is smaller), and looks fancy sitting on the counter, but it does not do a better job. It requires cleaning after each use as there is no space for the hairs. I have always cleaned my shavers after each use anyway. Unless you just want the apperance, it is not worth the extra money.<br /><br />Technically: The triple-blade per round head (each cutter has three spinning blade areas) does not do any better than a double cutting blade. Kind of like a Saturday Night Live skit in the 70's, Jim Belushi said, ""Buy a triple bladed razor. For those that will believe anything"". Lift-and-cut is a ridiculous concept and a marketing ploy, but Norelco's do a nice job. Norelco went back to more diagonal openings with this model, which is good. Many other newer models have lots of little pin-holes which are worthless, as the hairs have no time to enter a small hole with shaving motion. You would have to set it directly on a hair to cut it. The less pin-holes the better.<br /><br />Feel: The head design feels better on the neck, and has not caused razor-burn if I do not stretch the skin tight like I need to with the original model. It takes the same time to shave as my older unit, and I get no better results, no faster. It takes the same time to get a smooth shave, and the same persistance in some areas.<br /><br />Function: It is a little bit easier to shave under the nose, above my mustache, but not a major difference. It is much harder to trim my sideburns with this unit as the heads almost cut my hair on my head above the ears the way it is shaped. Very poorly designed trimmer, so I use my older shaver for that.<br /><br />Battery: Early, new battery life is good, as with most new battery devices. But, it states to not over-charge. Meaning, you need to be around when recharging to unplug it after it is charged; not good for those that shave and must go to work. The other units would shut off after charging.<br /><br />Cleaner/Charger: Again, one needs to be around when it is finished to not over-charge. The cleaner is not necessary and a waste of time, money, and chemicals. I use a razor brush from an older unit, brush it out quickly over the wastebasket (one can't blow it out without getting hair dust all over the bathroom, and it can't be shaken into the wastebasket as easily as the older models), and I spray it quickly with Remington Silicone Lubricant (I can only find it at Wal-Mart, which is the only thing I ever go there for, by the way).<br /><br />Overall: Buy it for looks and keep your old one in the drawer for sideburns. Nicer on the neck.<br /><br />I would return it, BUT, it was a gift, AND I like the look of it. I know, I know!!<br /><br />Update 12-29-07<br />I purchased a Braun 9595 through J&R on Amazon, and it has a 60 day trial return guarantee.  This is the first micro-screen razor I have used and it is better in all respects to the Norelco Arcitec except for the fancy styling.  It is fast and comfortable, and my face feels razor smooth.  I was able to return the Arcitec and am really happy with this Braun 9595 model.",0
AHHWI6X47RXVMZOZCKRZCGZG36CQ,B000PKKAFK,3,2007-12-17 22:03:44.000,Just OK,"I have used Norelco shavers for many years and prefer them to all other models I have tried. This review comes from much experience with the brand.<br /><br />This Arcitec design looks fancy and works well, but gets three average stars because it really works no better than the previous non-space-age, less expensive designs. The 1050, 1060, and 1090 all operate the same, they just have a different display: none is better than the other, and don't waste money on the Cleaner accessory. It is fairly comfortable to hold (I prefer the feel of the original model because this is one is smaller), and looks fancy sitting on the counter, but it does not do a better job. It requires cleaning after each use as there is no space for the hairs. I have always cleaned my shavers after each use anyway. Unless you just want the apperance, it is not worth the extra money.<br /><br />Technically: The triple-blade per round head (each cutter has three spinning blade areas) does not do any better than a double cutting blade. Kind of like a Saturday Night Live skit in the 70's, Jim Belushi said, ""Buy a triple bladed razor. For those that will believe anything"". Lift-and-cut is a ridiculous concept and a marketing ploy, but Norelco's do a nice job. Norelco went back to more diagonal openings with this model, which is good. Many other newer models have lots of little pin-holes which are worthless, as the hairs have no time to enter a small hole with shaving motion. You would have to set it directly on a hair to cut it. The less pin-holes the better.<br /><br />Feel: The head design feels better on the neck, and has not caused razor-burn if I do not stretch the skin tight like I need to with the original model. It takes the same time to shave as my older unit, and I get no better results, no faster. It takes the same time to get a smooth shave, and the same persistance in some areas.<br /><br />Function: It is a little bit easier to shave under the nose, above my mustache, but not a major difference. It is much harder to trim my sideburns with this unit as the heads almost cut my hair on my head above the ears the way it is shaped. Very poorly designed trimmer, so I use my older shaver for that.<br /><br />Battery: Early, new battery life is good, as with most new battery devices. But, it states to not over-charge. Meaning, you need to be around when recharging to unplug it after it is charged; not good for those that shave and must go to work. The other units would shut off after charging.<br /><br />Cleaner/Charger: Again, one needs to be around when it is finished to not over-charge. The cleaner is not necessary and a waste of time, money, and chemicals. I use a razor brush from an older unit, brush it out quickly over the wastebasket (one can't blow it out without getting hair dust all over the bathroom, and it can't be shaken into the wastebasket as easily as the older models), and I spray it quickly with Remington Silicone Lubricant (I can only find it at Wal-Mart, which is the only thing I ever go there for, by the way).<br /><br />Overall: Buy it for looks and keep your old one in the drawer for sideburns. Nicer on the neck.<br /><br />I would return it, BUT, it was a gift, AND I like the look of it. I know, I know!!<br /><br />Update 12-29-07<br />I purchased a Braun 9595 through J&R on Amazon, and it has a 60 day trial return guarantee.  This is the first micro-screen razor I have used and it is better in all respects to the Norelco Arcitec except for the fancy styling.  It is fast and comfortable, and my face feels razor smooth.  I was able to return the Arcitec and am really happy with this Braun 9595 model.",0
AHHWI6X47RXVMZOZCKRZCGZG36CQ,B000PKKAGO,3,2007-12-17 22:05:13.000,Just OK,"I have used Norelco shavers for many years and prefer them to all other models I have tried. This review comes from much experience with the brand.<br /><br />This Arcitec design looks fancy and works well, but gets three average stars because it really works no better than the previous non-space-age, less expensive designs. The 1050, 1060, and 1090 all operate the same, they just have a different display: none is better than the other, and don't waste money on the Cleaner accessory. It is fairly comfortable to hold (I prefer the feel of the original model because this is one is smaller), and looks fancy sitting on the counter, but it does not do a better job. It requires cleaning after each use as there is no space for the hairs. I have always cleaned my shavers after each use anyway. Unless you just want the apperance, it is not worth the extra money.<br /><br />Technically: The triple-blade per round head (each cutter has three spinning blade areas) does not do any better than a double cutting blade. Kind of like a Saturday Night Live skit in the 70's, Jim Belushi said, ""Buy a triple bladed razor. For those that will believe anything"". Lift-and-cut is a ridiculous concept and a marketing ploy, but Norelco's do a nice job. Norelco went back to more diagonal openings with this model, which is good. Many other newer models have lots of little pin-holes which are worthless, as the hairs have no time to enter a small hole with shaving motion. You would have to set it directly on a hair to cut it. The less pin-holes the better.<br /><br />Feel: The head design feels better on the neck, and has not caused razor-burn if I do not stretch the skin tight like I need to with the original model. It takes the same time to shave as my older unit, and I get no better results, no faster. It takes the same time to get a smooth shave, and the same persistance in some areas.<br /><br />Function: It is a little bit easier to shave under the nose, above my mustache, but not a major difference. It is much harder to trim my sideburns with this unit as the heads almost cut my hair on my head above the ears the way it is shaped. Very poorly designed trimmer, so I use my older shaver for that.<br /><br />Battery: Early, new battery life is good, as with most new battery devices. But, it states to not over-charge. Meaning, you need to be around when recharging to unplug it after it is charged; not good for those that shave and must go to work. The other units would shut off after charging.<br /><br />Cleaner/Charger: Again, one needs to be around when it is finished to not over-charge. The cleaner is not necessary and a waste of time, money, and chemicals. I use a razor brush from an older unit, brush it out quickly over the wastebasket (one can't blow it out without getting hair dust all over the bathroom, and it can't be shaken into the wastebasket as easily as the older models), and I spray it quickly with Remington Silicone Lubricant (I can only find it at Wal-Mart, which is the only thing I ever go there for, by the way).<br /><br />Overall: Buy it for looks and keep your old one in the drawer for sideburns. Nicer on the neck.<br /><br />I would return it, BUT, it was a gift, AND I like the look of it. I know, I know!!<br /><br />Update 12-29-07<br />I purchased a Braun 9595 through J&R on Amazon, and it has a 60 day trial return guarantee.  This is the first micro-screen razor I have used and it is better in all respects to the Norelco Arcitec except for the fancy styling.  It is fast and comfortable, and my face feels razor smooth.  I was able to return the Arcitec and am really happy with this Braun 9595 model.",0
